County/City,State,Status,Link,lat,lon
Stoneham,MA,Working,https://stoneham.patriotproperties.com,42.4802635,-71.0993581
Stoughton,MA,Working,https://stoughton.patriotproperties.com,42.1252079,-71.1022015
Swampscott,MA,Working,https://swampscott.patriotproperties.com,42.4699241,-70.9171507
Tolland,MA,Working,https://tolland.patriotproperties.com,42.0815253,-73.0123093
Topsfield,MA,Working,https://topsfield.patriotproperties.com,42.6390841,-70.9507469
Townsend,MA,Working,https://townsend.patriotproperties.com,42.6672938,-71.7054364
Tyngsborough,MA,Working,https://tyngsborough.patriotproperties.com,42.6761451,-71.4227726
Upton,MA,Working,https://upton.patriotproperties.com,42.1735557,-71.6030524
Uxbridge,MA,Working,https://uxbridge.patriotproperties.com,42.0768175,-71.6298483
Wakefield,MA,Working,https://wakefield.patriotproperties.com,42.506484,-71.0728306
Waltham,MA,Working,https://waltham.patriotproperties.com,42.3756401,-71.2358004
Warwick,MA,Working,https://warwick.patriotproperties.com,42.6823865,-72.3383824
Watertown,MA,Working,https://watertown.patriotproperties.com,42.3652518,-71.1843236
Wendell,MA,Working,https://wendell.patriotproperties.com,42.5485223,-72.3971709
Wenham,MA,Working,https://wenham.patriotproperties.com,42.6046209,-70.8873511
West Bridgewater,MA,Working,https://westbridgewater.patriotproperties.com,42.0191056,-71.0076743
West Newbury,MA,Working,https://westnewbury.patriotproperties.com,42.8014795,-70.989778
West Tisbury,MA,Working,https://westtisbury.patriotproperties.com,41.381005,-70.6744926
Westborough,MA,Working,https://westborough.patriotproperties.com,42.2694308,-71.6129907
Westford,MA,Working,https://westford.patriotproperties.com,42.5792583,-71.4378411
Whitman,MA,Working,https://whitman.patriotproperties.com,42.0806617,-70.935599
Williamsburg,MA,Working,https://williamsburg.patriotproperties.com,42.3926274,-72.7302473
Williamstown,MA,Working,https://williamstown.patriotproperties.com,42.7135472,-73.2094566
Winchester,MA,Working,https://winchester.patriotproperties.com,42.4523178,-71.1369982
Worthington,MA,Working,https://worthington.patriotproperties.com,42.3959993,-72.9358345
